title,normalized_job_title,normalized_job_code
Data Processing Services Sales Representative,data processing services sales representative,f670246beda8187fbe875401e7bc4ba6
Data Processing Equipment Repairer,data processing equipment repairer,0044971fda4a261b6049a63817913e95
Data Technician,data technician,b36bc5f02fd641a126df999bcefa2777
Naval Tactical Data System--Combat Information Center Officer,naval tactical data systemcombat information center officer,067c85859a63aa6f1c8c936904124dd6
Flight Test Data Acquisition Technician,flight test data acquisition technician,491d82be40d8395e347f9584124bccdd
Clinical Data Management Manager (CDM Manager),clinical data management manager cdm manager,7028f15ad274cb4d9505101b9c1306b1
Data Transcriber,data transcriber,fd69391dc29c83d5ad744daa57de0175
Data Input Clerk,data input clerk,3def30a9bc4356164176ba909f40bab8
Electronic Data Interchange System Developer (EDI System Developer),electronic data interchange system developer edi system developer,132aa9e82c5d4c8a395342d0a6e22c5c
Database Administration Project Manager,database administration project manager,07b2ace822aff5d35dcf5ea264ef3b59
Field Traffic Data Technician,field traffic data technician,f8984e50675cf61e5ac1ea8f661e0ab2
Clinical Data Abstractor,clinical data abstractor,d329d187dafb7546061ec7fbf137a2b4
Data Control Clerk Supervisor,data control clerk supervisor,d63e35f948115e0c328a49db7bdb6e59
Datastage Developer,datastage developer,bf7f43295d45cdced048c8126f977b6b
Data Entry Technician,data entry technician,6bf4290b983d58ce153af610008846c9
Clinical Data Analyst,clinical data analyst,f1fc61f279e3ad14863e582ca6fdc473
Data Entry Supervisor,data entry supervisor,31bf3181813e21ffdfd76b5881fab066
Data Conversion Operator,data conversion operator,04b0eaf624b2deb45ccd62cf6ec7c7bc
Data Processing Control Clerk,data processing control clerk,2616d64becb4f2c478dd42f501bbfbff
Data Typist,data typist,776bf47111206d31ccf835650e1054cc
SCADA Operator (Supervisory Control and Data Acquisition Operator),scada operator supervisory control and data acquisition operator,c3b5ebd7b88c20786f11e87846c7d6ae
Customer Data Technician,customer data technician,dfea9e8bc3c565ff9e64d4288b1c423d
Database Programmer,database programmer,a50d1f4be063829950e6ddb02c91379f
Data Specialist,data specialist,af6630abd24c19f77cfba94aa4e3b7e1
Data Processing Clerk,data processing clerk,901740e84d1a4760e440b039adac9df2
Voice and Data Technician,voice and data technician,f2ecf36d7eb0a4225974fc6c4f48cfcb
Data Processor,data processor,f1fb62e4c97f4f5cd5001877cb94379e
Data Modeler,data modeler,b9a57264eaada670703db113483ddfc3
LiDAR Data Analyst,lidar data analyst,65b92572bca68ff9c49c930749fa348c
